Bahasa Melayu,English,Mathematics,Additional Mathematics,Physics,Chemistry,Biology,History,Moral,Accounting,Pre_Uni_Program,Uni_Program,Pre_Uni_Results
A,A,A+,A,A,A,A,A,A,A,SPM,Bachelor of Computer Science (Hons),The student achieved A in Bahasa Melayu. The student achieved A in English. The student achieved A+ in Mathematics. The student achieved A in Additional Mathematics. The student achieved A in Physics. The student achieved A in Chemistry. The student achieved A in Biology. The student achieved A in History. The student achieved A in Moral. The student achieved A in Accounting. 
A,A,A,B+,B,B+,A-,A+,A,A,SPM,Bachelor in Accounting (Hons.),The student achieved A in Bahasa Melayu. The student achieved A in English. The student achieved A in Mathematics. The student achieved B+ in Additional Mathematics. The student achieved B in Physics. The student achieved B+ in Chemistry. The student achieved A- in Biology. The student achieved A+ in History. The student achieved A in Moral. The student achieved A in Accounting. 
A-,A+,A+,A,A+,A,A-,A,A,A,SPM,Bachelor of Engineering (Hons.) Electronics majoring in Telecommunications,The student achieved A- in Bahasa Melayu. The student achieved A+ in English. The student achieved A+ in Mathematics. The student achieved A in Additional Mathematics. The student achieved A+ in Physics. The student achieved A in Chemistry. The student achieved A- in Biology. The student achieved A in History. The student achieved A in Moral. The student achieved A in Accounting. 
B,B+,B,A+,A,A,A,B,A+,B,SPM,Bachelor of Computer Science (Hons.) Artificial Intelligence,The student achieved B in Bahasa Melayu. The student achieved B+ in English. The student achieved B in Mathematics. The student achieved A+ in Additional Mathematics. The student achieved A in Physics. The student achieved A in Chemistry. The student achieved A in Biology. The student achieved B in History. The student achieved A+ in Moral. The student achieved B in Accounting. 
A-,A+,B+,A,A+,B+,A+,B,A+,A-,SPM,Bachelor of Business Administration (Hons.) International Business,The student achieved A- in Bahasa Melayu. The student achieved A+ in English. The student achieved B+ in Mathematics. The student achieved A in Additional Mathematics. The student achieved A+ in Physics. The student achieved B+ in Chemistry. The student achieved A+ in Biology. The student achieved B in History. The student achieved A+ in Moral. The student achieved A- in Accounting. 
A,B,A+,A-,B,A+,B,B,B+,A-,SPM,Bachelor of Science (Hons.) Bioinformatics,The student achieved A in Bahasa Melayu. The student achieved B in English. The student achieved A+ in Mathematics. The student achieved A- in Additional Mathematics. The student achieved B in Physics. The student achieved A+ in Chemistry. The student achieved B in Biology. The student achieved B in History. The student achieved B+ in Moral. The student achieved A- in Accounting. 
A+,A,A-,A,A-,A-,B,A-,A+,B+,SPM,Bachelor of Law (Hons.),The student achieved A+ in Bahasa Melayu. The student achieved A in English. The student achieved A- in Mathematics. The student achieved A in Additional Mathematics. The student achieved A- in Physics. The student achieved A- in Chemistry. The student achieved B in Biology. The student achieved A- in History. The student achieved A+ in Moral. The student achieved B+ in Accounting. 
B+,A-,B+,A+,B,A,A+,A,A-,A-,SPM,Bachelor of Communication (Strategic Communication) (Hons),The student achieved B+ in Bahasa Melayu. The student achieved A- in English. The student achieved B+ in Mathematics. The student achieved A+ in Additional Mathematics. The student achieved B in Physics. The student achieved A in Chemistry. The student achieved A+ in Biology. The student achieved A in History. The student achieved A- in Moral. The student achieved A- in Accounting. 
A,A-,A-,A,A,A-,A,B+,A+,B+,SPM,Bachelor of Management (Hons.),The student achieved A in Bahasa Melayu. The student achieved A- in English. The student achieved A- in Mathematics. The student achieved A in Additional Mathematics. The student achieved A in Physics. The student achieved A- in Chemistry. The student achieved A in Biology. The student achieved B+ in History. The student achieved A+ in Moral. The student achieved B+ in Accounting. 
B+,B,B,B,A,A+,A-,A+,B+,A-,SPM,Bachelor of Immersive Media Design (Hons),The student achieved B+ in Bahasa Melayu. The student achieved B in English. The student achieved B in Mathematics. The student achieved B in Additional Mathematics. The student achieved A in Physics. The student achieved A+ in Chemistry. The student achieved A- in Biology. The student achieved A+ in History. The student achieved B+ in Moral. The student achieved A- in Accounting. 
